id,oppgave_master_id,kode,beskrivelse,bygningsdel
72c622e0-d069-4ee0-83d5-eecc92ad52d2,332.03,1.1,Bestill årlig kontroll og ettersyn av sprinkleranlegget fra uavhengig kontrollør,332
732ae3a3-a72f-4dba-a4e5-936f6e0fc215,278.01,1.3,Kontroller at alle stiger og rekkverk er festet på en sikker måte og at alle fester er intakte.,278
73f644cc-231e-4825-b271-c122bff866db,738.02,1.4,Kontroller at pumpe fungerer og løper uten ulyder og varmgang. Luft pumpe ved behov.,738
7413b44c-2bff-4905-8906-a4259f715d1d,333.01,1.1,Les av og registrer overtrykk og undertrykk i loggboken,333
74657ec1-193b-44b2-9b0e-e089cc656f18,350.02,1.09,Kontroller at funksjon på tvillingpumper fungerer som den skal,350
75e15a50-6c06-4a43-8182-8f21e141644c,278.01,1.2,"Kontroller stiger og rekkverk for skader, deformasjon og/eller rust",278
7870700b-8a2e-4d42-b34c-be4c314c2cdc,200.04,1.09,"Kontroller vegger og tak for sår, skader, avflasset maling og løse elementer",246
78f7bc8f-bfb7-4f31-ba4c-974a76bd5c42,624.01,1.1,Utfør generell visuell kontroll av løftebordet,624
791b7519-c61c-432a-b9e2-1dbcdef6d961,325.01,1.2,Kontroller vekslingsfunskjon til tvillingpumper,325
7924e69b-be40-4154-832f-4354c3b65442,270.01,1.1,Kontroller alt fast inventar for skader og funksjon,270
7975636c-ec6c-4478-a813-0dc0057d2275,624.01,1.4,Kontroller at nødstopp fungerer,624
7aa63f5c-a04e-46ea-b9dd-17c07350a2ce,381.01,1.3,Spyl gjennom systemet,381
7afa4911-9028-4935-b942-5692c09a6318,381.03,1.1,"Bestill årlig kontroll, ettersyn og vedlikehold for vannrenseanlegget",381
7b8525b6-8b28-4542-a923-78832bd411cb,360.01,1.15,Kontroller at lys inne i ventilasjonsaggregatet fungerer,360
7db78798-75c9-44bc-8fd9-f73844d6cb5b,353.01,1.2,"Kontroller funksjon, evt. Vifte og kondens",353
7db94311-afae-4261-a50f-b787c0cceaa7,660.01,1.2,Kontroller om rengjøring av pumpekum er nødvendig,660
809543c1-039d-4c66-af42-88f85c373957,660.01,1.4,Kontroller vannivå i kum,660
8248b736-fc68-430b-b30f-454dc4b272e3,360.01,1.04,Kontroller stramming av reim og påse at vippebrakket for drivmotoren er innenfor rett posisjon,360
826096f1-8dab-4c43-b85a-f0b6461c6059,738.01,1.2,Fjern løv og avfall fra dam og sluk ved behov,738
828d6c23-27c4-4f94-a24d-43383506a27c,400.01,1.08,Kontroller om det finnes elektriske apparater som er skadet eller unormalt varme,400
82bd2785-893d-422a-9c34-26b32bf25d0b,732.01,1.2,Kontroller at gatevarmen er slått av om våren når det ikke er lenger er fare for frost,732
836fd940-bb44-4028-ad3c-a5896f743315,430.01,1.05,Kontroller at oppdaterte el-skjemaer og kursfortegnelser ligger i hvert fordelingsskap,430
83ae9cd3-0c51-4154-b40c-87e2815b7544,360.02,1.2,Lukke evt. Avvik fra servicerapporten,360
84a2f702-469d-4052-b20b-379c4c360a0e,738.03,1.3,Lagre servicerapporten som dokumentasjon,738
85bf0990-a730-461f-bea6-34c7a65761dd,745.01,1.4,Kontroller at termostaten er justert ift. sesong/årstid,745
8606742b-3997-4d2c-a1f8-9016b4aadd0d,265.01,1.1,"Kontroller at alle taksluk, takavløp og takrenner er åpne og frie for løv, søppel og andre hindringer",265
869bed10-2b53-4b3b-877c-ac85de0235e7,738.01,1.1,Kontroller at pumpen fungerer,738
87698118-6bb1-40cf-b55b-f6c631ee30be,315.01,1.4,Kontroller at fotoceller til urinaler og relevante vasker fungerer,315
87c817f9-1450-4a45-bf4f-3b85aaeb686d,333.03,1.1,Bestill årlig kontroll og ettersyn av vanntåkeanlegget fra uavhengig kontrollør,333
890029ff-91dd-497a-bf78-a006a20b8046,325.02,1.2,Kontroller for lekkasjer og skader,325
892b570e-f979-49bc-9947-1c62aa90a25e,745.01,1.6,Kontroller at alle varmekabler rundt taksluk og takrenner fungerer,745
89db037a-4b97-4799-b84c-a75f6900e37a,745.01,1.3,Kontroller funksjon og betjeningspanel,745
8aef0b41-7383-474a-9fa1-5d3fe3defc49,621.01,1.2,Lukk evt. avvik fra servicerapporten,621
8cb18bd2-dc63-486e-97e8-44b4beb19a46,542.05,1.1,Kontroller alarmoverføring til brannvesenet,542
8d94212a-51d1-44cc-8737-85de0a0a3837,353.01,1.4,"Lytt etter ulyder, unormale vibrasjoner og se etter lekkasjer",353
8e07cec8-2403-47c1-89ed-faf1e1b7792a,369.01,1.1,"Bestill årlig kontroll, ettersyn og vedlikeohold for tilfluktsrom",369
